
Netlist successfully made
pshed back 355
pshed back 356
pshed back 357
pshed back 358
pshed back 359
pshed back 360
pshed back 361
pshed back 362
pshed back 363
pshed back 364
pshed back 365
pshed back 366
pshed back 367
pshed back 368
pshed back 369
pshed back 370
pshed back 371
pshed back 372
pshed back 373
pshed back 374
pshed back 375
pshed back 376
pshed back 377
pshed back 378
pshed back 379
pshed back 380
pshed back 381
pshed back 382
pshed back 383
pshed back 384
pshed back 385
pshed back 386
pshed back 387
pshed back 388
pshed back 389
pshed back 390
pshed back 391
pshed back 392
pshed back 393
pshed back 394
pshed back 395
pshed back 396
pshed back 397
pshed back 398
pshed back 399
pshed back 400
pshed back 401
pshed back 402
pshed back 403
pshed back 404
pshed back 405
pshed back 406
pshed back 407
pshed back 408
pshed back 409
pshed back 410
pshed back 411
pshed back 412
pshed back 413
pshed back 414
pshed back 415
pshed back 416
pshed back 417
pshed back 418
pshed back 419
pshed back 420
pshed back 421
pshed back 422
pshed back 423
pshed back 424
pshed back 425
pshed back 426
pshed back 427
pshed back 428
pshed back 429
pshed back 430
pshed back 431
pshed back 432
pshed back 433
pshed back 434
pshed back 435
pshed back 436
pshed back 437
pshed back 438
pshed back 439
pshed back 440
pshed back 441
pshed back 442
pshed back 443
pshed back 444
pshed back 445
pshed back 446
pshed back 447
pshed back 448
pshed back 449
pshed back 450
pshed back 451
pshed back 452
pshed back 453
pshed back 454
pshed back 455
pshed back 456
pshed back 457
pshed back 458
pshed back 459
pshed back 460
pshed back 461
pshed back 462
Done pushing 
Done checking 
Maze is scheduled 
463463Maze routing a batch 
463Maze routing a batch 
Maze routing a batch 
463Maze routing a batch 
463Maze routing a batch 
463Maze routing a batch 
Time taken to rip nets 6.12e-07seconds by thread number 3
Time taken to rip nets 6.42e-07seconds by thread number 1
Time taken to do Bellmann ford relaxations 2.1e-07seconds by thread number 3
Time taken to do Bellmann ford relaxations 6.99999e-08seconds by thread number 1
Time taken to rip nets 1.132e-06seconds by thread number 5
Time taken to rip nets 2.064e-06seconds by thread number 0
Time taken to rip nets 1.834e-06seconds by thread number 4
Time taken to do Bellmann ford relaxations 2.1e-07seconds by thread number 0
Time taken to rip nets 1.824e-06seconds by thread number 2
Time taken to do Bellmann ford relaxations 1.1e-07seconds by thread number 4
Time taken to do Bellmann ford relaxations 1.1e-07seconds by thread number 2
Time taken to do Bellmann ford relaxations 1.1e-07seconds by thread number 5
Time taken to backtrack under #pragma omp single Time taken to backtrack under #pragma omp single Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 0
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 2
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 5
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 1
0.000329388seconds by thread number 3
1957.07seconds by thread number 4
Time taken to backtrack (very imp) 0.000642764seconds by thread number 3
Time taken to backtrack (very imp) 0.000623226seconds by thread number 1
Time taken to backtrack (very imp) 0.000313727seconds by thread number 5
Time taken to backtrack (very imp) 0.000470555seconds by thread number 0
Time taken to backtrack (very imp) 0.000349247seconds by thread number 2
Time taken to backtrack (very imp) 0.0003863seconds by thread number 4
Time taken to reroute 7.3304e-05seconds by thread number 0
Maze routing a batch 
Time taken to reroute 9.32e-07seconds by thread number 4
Time taken to reroute 3.7203e-05seconds by thread number 2
Maze routing a batch Maze routing a batch Time taken to reroute 0.000155195
seconds by thread number 3
Time taken to reroute 0.000135015seconds by thread number 1
Maze routing a batch Maze routing a batch 
Time taken to reroute 

9.9716e-05seconds by thread number 5
Maze routing a batch 
Time taken to rip nets 1.202e-06seconds by thread number 3
Time taken to rip nets 1.252e-06seconds by thread number 1
Time taken to do Bellmann ford relaxations 4e-08seconds by thread number 3
Time taken to do Bellmann ford relaxations 4e-08seconds by thread number 1
Time taken to rip nets 9.52e-07seconds by thread number 5
Time taken to rip nets 1.062e-06seconds by thread number 0
Time taken to rip nets 1.243e-06seconds by thread number 2
Time taken to do Bellmann ford relaxations 4e-08seconds by thread number 0
Time taken to rip nets 9.62e-07seconds by thread number 4
Time taken to do Bellmann ford relaxations 5.99998e-08seconds by thread number 2
Time taken to do Bellmann ford relaxations 9.99999e-08seconds by thread number 4
Time taken to do Bellmann ford relaxations 8.00001e-08seconds by thread number 5
Time taken to backtrack under #pragma omp single Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 4Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 0
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 1

0.000270702seconds by thread number Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 5
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 2
3
Time taken to backtrack (very imp) 0.000475675seconds by thread number 3
Time taken to backtrack (very imp) 0.000456357seconds by thread number 1
Time taken to backtrack (very imp) 0.000205504seconds by thread number 5
Time taken to backtrack (very imp) 0.000240753seconds by thread number 4
Time taken to backtrack (very imp) 0.000348766seconds by thread number 0
Time taken to backtrack (very imp) 0.000276243seconds by thread number 2
Time taken to reroute 3.3586e-05seconds by thread number 4
Maze routing a batch 
Time taken to reroute 5.61e-07seconds by thread number 2
Maze routing a batch 
Time taken to reroute 1.7064e-05seconds by thread number 0
Maze routing a batch 
Time taken to reroute 5.2693e-05seconds by thread number 5
Maze routing a batch 
Time taken to reroute 6.8434e-05seconds by thread number 1
Time taken to reroute 8.8514e-05seconds by thread number 3
Maze routing a batch 
Maze routing a batch 
Time taken to rip nets 9.12e-07seconds by thread number 3
Time taken to rip nets 7.81e-07seconds by thread number 1
Time taken to rip nets 1.002e-06seconds by thread number 5
Time taken to do Bellmann ford relaxations 3.99998e-08seconds by thread number 3
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 5
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 1
Time taken to rip nets 1.062e-06seconds by thread number 4
Time taken to rip nets 8.81e-07seconds by thread number 0
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 4
Time taken to do Bellmann ford relaxations 4e-08seconds by thread number 0
Time taken to rip nets 1.022e-06seconds by thread number 2
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 2
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 0
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 1
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 4
Time taken to backtrack under #pragma omp single 0.000146679seconds by thread number 3
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 2
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 5
Time taken to backtrack (very imp) 0.000194923seconds by thread number 0
Time taken to backtrack (very imp) 0.000161768seconds by thread number 2
Time taken to backtrack (very imp) 0.000223089seconds by thread number 4
Time taken to backtrack (very imp) 0.000293216seconds by thread number 5
Time taken to backtrack (very imp) 0.000308266seconds by thread number 3
Time taken to backtrack (very imp) 0.000273909seconds by thread number 1
Time taken to reroute 1.9819e-05seconds by thread number 3
Maze routing a batch 
Time taken to reroute 6.11e-07seconds by thread number 1
Maze routing a batch 
Time taken to reroute 3.4929e-05seconds by thread number 5
Maze routing a batch 
Time taken to reroute 8.4677e-05seconds by thread number 0
Maze routing a batch 
Time taken to reroute 5.1812e-05seconds by thread number 4
Maze routing a batch 
Time taken to reroute 6.8274e-05seconds by thread number 2
Maze routing a batch 
Time taken to rip nets 8.22e-07seconds by thread number 3
Time taken to rip nets 1.083e-06seconds by thread number 1
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 3
Time taken to rip nets 8.72e-07seconds by thread number 5
Time taken to do Bellmann ford relaxations 4e-08seconds by thread number 1
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 5
Time taken to rip nets 8.92e-07seconds by thread number 2
Time taken to rip nets 1.132e-06seconds by thread number 4
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 2
Time taken to rip nets 1.102e-06seconds by thread number 0
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 4
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 0
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 2
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 1Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 0
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 5

Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 4
Time taken to backtrack under #pragma omp single 0.000150807seconds by thread number 3
Time taken to backtrack (very imp) 0.000256104seconds by thread number 5
Time taken to backtrack (very imp) 0.000271344seconds by thread number 1
Time taken to backtrack (very imp) 0.000305971seconds by thread number 3
Time taken to backtrack (very imp) 0.000171457seconds by thread number 4
Time taken to backtrack (very imp) 0.000203971seconds by thread number 2
Time taken to backtrack (very imp) 0.000155205seconds by thread number 0
Time taken to reroute 3.4167e-05seconds by thread number 4
Maze routing a batch 
Time taken to reroute 6.71e-07seconds by thread number 0
Maze routing a batch 
Time taken to reroute 1.7604e-05seconds by thread number 2
Maze routing a batch 
Time taken to reroute 8.7722e-05seconds by thread number 5
Maze routing a batch 
Time taken to reroute 5.2523e-05seconds by thread number 3
Maze routing a batch 
Time taken to reroute 6.7542e-05seconds by thread number 1
Maze routing a batch 
Time taken to rip nets 9.32e-07seconds by thread number 3
Time taken to rip nets 9.32e-07seconds by thread number 5
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 3
Time taken to rip nets 6.81e-07seconds by thread number 1
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 5
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 1
Time taken to rip nets 9.72e-07seconds by thread number 0
Time taken to rip nets 9.72e-07seconds by thread number 4
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 0
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 4
Time taken to rip nets 9.82e-07seconds by thread number 2
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 2
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 4
Time taken to backtrack under #pragma omp single 0.000172719seconds by thread number 3
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 0
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 1
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 2
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 5
Time taken to backtrack (very imp) 0.000196797seconds by thread number 4
Time taken to backtrack (very imp) 0.000163011seconds by thread number 2
Time taken to backtrack (very imp) 0.00021341seconds by thread number 0
Time taken to backtrack (very imp) 0.00028467seconds by thread number 5
Time taken to backtrack (very imp) 0.00033553seconds by thread number 3
Time taken to backtrack (very imp) 0.000265292seconds by thread number 1
Time taken to reroute 3.4819e-05seconds by thread number 5
Maze routing a batch 
Time taken to reroute 1.9909e-05seconds by thread number 3
Maze routing a batch 
Time taken to reroute 6.51e-07seconds by thread number 1
Maze routing a batch 
Time taken to reroute 5.2483e-05seconds by thread number 0
Maze routing a batch 
Time taken to reroute 6.8755e-05seconds by thread number 2
Maze routing a batch 
Time taken to reroute 8.5879e-05seconds by thread number 4
Maze routing a batch 
Time taken to rip nets 3.9e-07seconds by thread number 5
Time taken to rip nets 4.4e-07seconds by thread number 3
Time taken to rip nets 7.31e-07seconds by thread number 1
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 3
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 5
Time taken to do Bellmann ford relaxations 4e-08seconds by thread number 1
Time taken to rip nets 5.41e-07seconds by thread number 0
Time taken to rip nets 7.12e-07seconds by thread number 2
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 0
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 2
Time taken to rip nets 5.11e-07seconds by thread number 4
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 4
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 2
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number Time taken to backtrack under #pragma omp single 1957.07seconds by thread number Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 1
4
Time taken to backtrack under #pragma omp single 0.000135777seconds by thread number 3
5
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 0
Time taken to backtrack (very imp) 0.00015261seconds by thread number 4
Time taken to backtrack (very imp) 0.000202108seconds by thread number 0
Time taken to backtrack (very imp) 0.000185615seconds by thread number 2
Time taken to backtrack (very imp) 0.000288137seconds by thread number 3
Time taken to backtrack (very imp) 0.00025394seconds by thread number 1
Time taken to backtrack (very imp) 0.000273107seconds by thread number 5
Time taken to reroute 3.6632e-05seconds by thread number 3
Maze routing a batch 
Time taken to reroute 1.5541e-05seconds by thread number 1
Maze routing a batch 
Time taken to reroute 6.51e-07seconds by thread number 5
Maze routing a batch 
Time taken to reroute 5.4106e-05seconds by thread number 2
Maze routing a batch 
Time taken to reroute 8.6821e-05seconds by thread number 4
Maze routing a batch 
Time taken to reroute 7.0649e-05seconds by thread number 0
Maze routing a batch 
Time taken to rip nets 8.92e-07seconds by thread number 4
Time taken to rip nets 9.32e-07seconds by thread number 2
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 4
Time taken to rip nets 7.31e-07seconds by thread number 0
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 2
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 0
Time taken to rip nets 9.22e-07seconds by thread number 5
Time taken to rip nets 9.52e-07seconds by thread number 3
Time taken to rip nets 8.42e-07seconds by thread number 1
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 3
Time taken to do Bellmann ford relaxations 3.10001e-08seconds by thread number 1
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 5
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 3
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 2
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 1
Time taken to backtrack under #pragma omp single 0.000153953seconds by thread number 4
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 5
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 0
Time taken to backtrack (very imp) 0.000306973seconds by thread number 4
Time taken to backtrack (very imp) 0.000272836seconds by thread number 2
Time taken to backtrack (very imp) 0.000255553seconds by thread number 0
Time taken to backtrack (very imp) 0.000187178seconds by thread number 3
Time taken to backtrack (very imp) 0.000153422seconds by thread number 5
Time taken to backtrack (very imp) 0.000168321seconds by thread number 1
Time taken to reroute 3.5871e-05seconds by thread number 3
Maze routing a batch 
Time taken to reroute 1.9599e-05seconds by thread number 5
Maze routing a batch 
Time taken to reroute 5.51e-07seconds by thread number 1
Maze routing a batch 
Time taken to reroute 7.0318e-05seconds by thread number 2
Maze routing a batch 
Time taken to reroute 5.3205e-05seconds by thread number 0
Maze routing a batch 
Time taken to reroute 8.641e-05seconds by thread number 4
Maze routing a batch 
Time taken to rip nets 6.31e-07seconds by thread number 5
Time taken to rip nets 6.61e-07seconds by thread number 3
Time taken to rip nets 8.62e-07seconds by thread number 1
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 3
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 5
Time taken to do Bellmann ford relaxations 4.99999e-08seconds by thread number 1
Time taken to rip nets 9.82e-07seconds by thread number 0
Time taken to rip nets 7.81e-07seconds by thread number 4
Time taken to rip nets 1.002e-06seconds by thread number 2
Time taken to do Bellmann ford relaxations 1.99998e-08seconds by thread number 0
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 2
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 4
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 2
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 1
Time taken to backtrack under #pragma omp single 1957.07Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 5
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 4
seconds by thread number 0
Time taken to backtrack under #pragma omp single 0.000136348seconds by thread number 3
Time taken to backtrack (very imp) 0.000313065seconds by thread number 3
Time taken to backtrack (very imp) 0.000297976seconds by thread number 5
Time taken to backtrack (very imp) 0.000279299seconds by thread number 1
Time taken to backtrack (very imp) 0.000210304seconds by thread number 0
Time taken to backtrack (very imp) 0.000177149seconds by thread number 4
Time taken to backtrack (very imp) 0.000194312seconds by thread number 2
Time taken to reroute 1.6903e-05seconds by thread number 4
Maze routing a batch 
Time taken to reroute 4.1261e-05seconds by thread number 0
Time taken to reroute 5.01e-07seconds by thread number 2
Maze routing a batch 
Time taken to reroute 9.7962e-05seconds by thread number 3
Maze routing a batch Maze routing a batch 

Time taken to reroute 8.2442e-05seconds by thread number 5
Maze routing a batch 
Time taken to reroute 6.0418e-05seconds by thread number 1
Maze routing a batch 
Time taken to rip nets 7.61e-07seconds by thread number 5
Time taken to rip nets 6.81e-07seconds by thread number 1
Time taken to rip nets 8.32e-07seconds by thread number 3
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 5
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 1
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 3
Time taken to rip nets 8.31e-07seconds by thread number 4
Time taken to rip nets 6.51e-07seconds by thread number 0
Time taken to rip nets 7.81e-07seconds by thread number 2
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 0
Time taken to do Bellmann ford relaxations 2e-08seconds by thread number 4
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 2
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 0
Time taken to backtrack under #pragma omp single 0.000134425seconds by thread number 5
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 2
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 3
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 1
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 4
Time taken to backtrack (very imp) 0.000175835seconds by thread number 0
Time taken to backtrack (very imp) 0.000143261seconds by thread number 2
Time taken to backtrack (very imp) 0.000159664seconds by thread number 4
Time taken to backtrack (very imp) 0.000243399seconds by thread number 3
Time taken to backtrack (very imp) 0.000258438seconds by thread number 1
Time taken to backtrack (very imp) 0.000277626seconds by thread number 5
Time taken to reroute 3.578e-05seconds by thread number 3
Maze routing a batch 
Time taken to reroute 5.31e-07seconds by thread number 5
Maze routing a batch 
Time taken to reroute 1.5851e-05seconds by thread number 1
Maze routing a batch 
Time taken to reroute 9.6269e-05seconds by thread number 0
Maze routing a batch 
Time taken to reroute 5.4747e-05seconds by thread number 4
Maze routing a batch 
Time taken to reroute 7.1601e-05seconds by thread number 2
Maze routing a batch 
Time taken to rip nets 7.31e-07seconds by thread number 5
Time taken to rip nets 1.052e-06seconds by thread number 1
Time taken to rip nets 7.51e-07seconds by thread number 3
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 1
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 5
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 3
Time taken to rip nets 1.022e-06seconds by thread number 4
Time taken to rip nets 1.022e-06seconds by thread number 0
Time taken to rip nets 8.71e-07seconds by thread number 2
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 0
Time taken to do Bellmann ford relaxations 2e-08seconds by thread number 2
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 4
Time taken to backtrack under #pragma omp single Time taken to backtrack under #pragma omp single 1957.07seconds by thread number Time taken to backtrack under #pragma omp single 1957.07Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 4
seconds by thread number 3
5
Time taken to backtrack under #pragma omp single 0.000135677seconds by thread number 1
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number 0
1957.07seconds by thread number 2
Time taken to backtrack (very imp) 0.000194743seconds by thread number 0
Time taken to backtrack (very imp) 0.000159053seconds by thread number 4
Time taken to backtrack (very imp) 0.000175365seconds by thread number 2
Time taken to backtrack (very imp) 0.00027964seconds by thread number 5
Time taken to backtrack (very imp) 0.00026462seconds by thread number 3
Time taken to backtrack (very imp) 0.000294699seconds by thread number 1
Time taken to reroute 1.9809e-05seconds by thread number 3
Maze routing a batch 
Time taken to reroute 3.4868e-05seconds by thread number 5
Maze routing a batch 
Time taken to reroute 6.01e-07seconds by thread number 1
Maze routing a batch 
Time taken to reroute 8.5989e-05seconds by thread number 0
Maze routing a batch 
Time taken to reroute 5.3315e-05seconds by thread number 2
Maze routing a batch 
Time taken to reroute 6.9537e-05seconds by thread number 4
Maze routing a batch 
Time taken to rip nets 7.61e-07seconds by thread number 3
Time taken to rip nets 9.52e-07seconds by thread number 1
Time taken to rip nets 7.51e-07seconds by thread number 5
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 3
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 5
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 1
Time taken to rip nets 1.022e-06seconds by thread number 0
Time taken to rip nets 8.91e-07seconds by thread number 4
Time taken to rip nets 1.032e-06seconds by thread number 2
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 4
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 0
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 2
Time taken to backtrack under #pragma omp single 1957.07seconds by thread number Time taken to backtrack under #pragma omp single Time taken to backtrack under #pragma omp single 0.000133422Time taken to backtrack under #pragma omp single Time taken to backtrack under #pragma omp single 4Time taken to backtrack under #pragma omp single seconds by thread number 1957.071957.07seconds by thread number 2
1957.07seconds by thread number seconds by thread number 0
1
1957.073

seconds by thread number 5
Time taken to backtrack (very imp) 0.000302355seconds by thread number 3
Time taken to backtrack (very imp) 0.000287405seconds by thread number 5
Time taken to backtrack (very imp) 0.000268057seconds by thread number 1
Time taken to backtrack (very imp) 0.000169343seconds by thread number 2
Time taken to backtrack (very imp) 0.000201136seconds by thread number 4
Time taken to backtrack (very imp) 0.000185024seconds by thread number 0
Time taken to reroute 3.3436e-05seconds by thread number 2
Maze routing a batch 
Time taken to reroute 5.21e-07seconds by thread number 0
Maze routing a batch 
Time taken to reroute 1.7334e-05seconds by thread number 4
Maze routing a batch 
Time taken to reroute 8.7853e-05seconds by thread number 3
Maze routing a batch 
Time taken to reroute 7.2432e-05seconds by thread number 5
Maze routing a batch 
Time taken to reroute 5.2754e-05seconds by thread number 1
Maze routing a batch 
Time taken to rip nets 8.52e-07seconds by thread number 3
Time taken to rip nets 7.71e-07seconds by thread number 1
Time taken to do Bellmann ford relaxations 2.99999e-08seconds by thread number 3
Time taken to do Bellmann ford relaxations 4e-08seconds by thread number 1
Time taken to rip nets 8.62e-07seconds by thread number 5
Time taken to do Bellmann ford relaxations 3.00001e-08seconds by thread number 5
